t,S,I,R
10.890215456608674,493,298,209
10.904468759645436,492,299,209
10.90725328614143,491,300,209
10.90786136081454,490,301,209
10.913609496459737,489,302,209
10.917553560950289,488,303,209
10.919412016043978,487,304,209
10.920026204254421,486,305,209
10.943845587411928,485,306,209
10.948549323104087,484,307,209
10.949026995091554,484,306,210
10.952927941679505,484,305,211
10.954388589899818,484,304,212
10.957198520855176,483,305,212
10.95891386436902,483,304,213
10.959147924603306,483,303,214
10.959481234911781,482,304,214
10.965540433467122,482,303,215
10.977475084156604,481,304,215
10.982577679916524,481,303,216
10.98269185059406,480,304,216
10.990135271056682,479,305,216
10.991015424093355,478,306,216
11.005592184455743,478,305,217
11.00708297394803,477,306,217
11.009424922895743,476,307,217
11.010642795745081,475,308,217
11.013190196367281,474,309,217
11.015146306201814,473,310,217
11.049840874645604,472,311,217
11.054072293341076,472,310,218
11.064941162065514,471,311,218
11.06552936166388,471,310,219
11.067072321546732,471,309,220
11.070051017933018,471,308,221
11.091915580922382,470,309,221
11.094633157583363,469,310,221
11.097883216225666,468,311,221
11.104803593614546,467,312,221
11.105741401134008,467,311,222
11.127224600857609,467,310,223
11.136853918607839,466,311,223
11.155652604428695,465,312,223
11.158870338345844,465,311,224
11.169744368326146,465,310,225
11.170662213309045,464,311,225
11.191627540611458,463,312,225
11.203096510775563,462,313,225
11.203636047241607,461,314,225
11.210023264052197,461,313,226
11.233498827288987,461,312,227
11.242119215740068,460,313,227
11.242707358849719,459,314,227
11.268909037085887,459,313,228
11.273410125118742,458,314,228
11.276797581269719,458,313,229
11.278777954125989,458,312,230
11.285991914939677,458,311,231
11.287652913053536,458,310,232
11.290413678075009,458,309,233
11.306440967314705,457,310,233
11.322291261807395,457,309,234
11.331288359005127,456,310,234
11.333905157603612,456,309,235
11.33570179586148,455,310,235
11.33671164611027,455,309,236
11.336916147508173,454,310,236
11.34030841678597,453,311,236
11.352023953168553,452,312,236
11.355501259857414,451,313,236
11.362115363123912,451,312,237
11.3653494356431,451,311,238
11.370090522703453,450,312,238
11.374051333527003,450,311,239
11.375017249214544,450,310,240
11.385737923794041,449,311,240
11.390544699188911,448,312,240
11.39949859174839,448,311,241
11.399872817144379,448,310,242
11.408099947461107,448,309,243
11.418414713159894,448,308,244
11.435849700044143,448,307,245
11.442615307196775,447,308,245
11.452598350050756,447,307,246
11.464995965331251,447,306,247
11.465351200075093,446,307,247
11.465471823614735,445,308,247
11.472655775792816,445,307,248
11.47297959603362,444,308,248
11.492299504850344,444,307,249
11.527752588794458,443,308,249
11.529565580840538,442,309,249
11.544038774692138,441,310,249
11.547131420842241,441,309,250
11.54715838583506,440,310,250
11.552301397729213,440,309,251
11.554365009869361,440,308,252
11.557205412000297,440,307,253
11.562047406051741,439,308,253
11.563289524698815,439,307,254
11.581402532387397,439,306,255
11.606595487595051,439,305,256
11.616084091757209,439,304,257
11.620988292640646,438,305,257
11.623834595995262,438,304,258
11.629675247778401,437,305,258
11.64085560928227,437,304,259
11.645789031833914,437,303,260
11.647858167306685,436,304,260
11.654026461655576,436,303,261
11.673646412697371,435,304,261
11.676585565129095,435,303,262
11.678340115021737,435,302,263
11.684399202340277,435,301,264
11.69063386996354,434,302,264
11.698592499272731,434,301,265
11.700889876032505,433,302,265
11.703976715022417,433,301,266
11.721054031746203,433,300,267
11.722148900400015,432,301,267
11.724657187993957,431,302,267
11.736659693968281,431,301,268
11.743168668259337,431,300,269
11.790634718036497,430,301,269
11.80226987497471,429,302,269
11.81345838050675,428,303,269
11.824388822808244,427,304,269
11.830643252717028,426,305,269
11.843651403558486,425,306,269
11.844156049206525,424,307,269
11.844985289589527,423,308,269
11.848894657581408,423,307,270
11.856790779588048,422,308,270
11.866976173443293,422,307,271
11.883832365861831,421,308,271
11.9008606007883,421,307,272
11.903271003239063,420,308,272
11.919894208000594,419,309,272
11.920616707056205,418,310,272
11.932455816384369,418,309,273
11.935209424424773,418,308,274
11.944114454310421,418,307,275
11.982304915324873,417,308,275
11.982825505824914,416,309,275
11.996889693950965,416,308,276
11.999511549380518,415,309,276
12.004458833907501,415,308,277
12.016097089973108,414,309,277
12.022427648282648,413,310,277
12.025049187267012,412,311,277
12.029595857233618,411,312,277
12.035945551534091,410,313,277
12.042470563243862,410,312,278
12.047685443346474,409,313,278
12.05070187945747,408,314,278
12.054324747615484,407,315,278
12.061116256328837,406,316,278
12.066799676874107,406,315,279
12.068362145215172,405,316,279
12.071777613192879,405,315,280
12.073570428794339,405,314,281
12.088368332860894,405,313,282
12.093163234878471,404,314,282
12.104263200446844,403,315,282
12.113874403494126,402,316,282
12.118850820129863,402,315,283
12.128975202891029,402,314,284
12.130127683730073,402,313,285
12.134343308229035,401,314,285
12.134380794426187,401,313,286
12.13715845366395,401,312,287
12.144753584947585,400,313,287
12.146397309485321,400,312,288
12.178308526481299,399,313,288
12.179427058904425,399,312,289
12.182323894028846,399,311,290
12.183256760901799,399,310,291
12.183634663053157,398,311,291
12.194212742897731,398,310,292
12.204233181185332,397,311,292
12.232343371094744,397,310,293
12.232392976692307,397,309,294
12.244717372582626,396,310,294
12.254926107655654,395,311,294
12.270396873345566,395,310,295
12.275937274399142,395,309,296
12.276923088799704,394,310,296
12.277972279125747,394,309,297
12.284499606091535,394,308,298
12.284600683263186,394,307,299
12.30168777338118,394,306,300
12.333709497470105,394,305,301
